"","id","Year","Value"
"128.1976",128,1976,29
"3479.1976",3479,1976,1.4
"117.1976",117,1976,30
"5815.1976",5815,1976,0
"5816.1976",5816,1976,0
"5090.1976",5090,1976,1.2
"632.1976",632,1976,4269
"118.1976",118,1976,600
"5085.1976",5085,1976,0.6
"5086.1976",5086,1976,3.5
"2356.1976",2356,1976,0.01
"6166.1976",6166,1976,2.5
"3488.1976",3488,1976,1.5
"5087.1976",5087,1976,3
"5088.1976",5088,1976,1
"124.1976",124,1976,25
"604.1976",604,1976,13
"5895.1976",5895,1976,0.5
"5894.1976",5894,1976,1.38
"5896.1976",5896,1976,0.23
"5893.1976",5893,1976,0.19
"5898.1976",5898,1976,20
"14541.1977",14541,1977,99
"9888.1977",9888,1977,4
"9864.1977",9864,1977,4
"3485.1977",3485,1977,13
"4916.1977",4916,1977,100
"5373.1977",5373,1977,2.33
"28.1977",28,1977,37
"4914.1977",4914,1977,189
"5249.1977",5249,1977,1650
"5250.1977",5250,1977,388
"5248.1977",5248,1977,2775
"128.1977",128,1977,27
"3479.1977",3479,1977,2
"117.1977",117,1977,26
"5815.1977",5815,1977,0
"5816.1977",5816,1977,23
"5090.1977",5090,1977,1.5
"5089.1977",5089,1977,0.2
"632.1977",632,1977,4609
"2233.1977",2233,1977,5625
"5085.1977",5085,1977,0.55
"5086.1977",5086,1977,1.2
"2356.1977",2356,1977,0.01
"6166.1977",6166,1977,0.5
"3421.1977",3421,1977,1.7
"3488.1977",3488,1977,2.5
"5087.1977",5087,1977,2.4
"5088.1977",5088,1977,1.2
"123.1977",123,1977,34
"604.1977",604,1977,15
"5895.1977",5895,1977,0.17
"5894.1977",5894,1977,2
"5896.1977",5896,1977,0.05
"5893.1977",5893,1977,0.08
"5898.1977",5898,1977,15
"3485.1978",3485,1978,27
"4916.1978",4916,1978,90
"127.1978",127,1978,73
"5373.1978",5373,1978,1.89
"8147.1978",8147,1978,0.45
"28.1978",28,1978,26
"4914.1978",4914,1978,176
"128.1978",128,1978,28
"3479.1978",3479,1978,2
"5814.1978",5814,1978,41
"5815.1978",5815,1978,78
"5816.1978",5816,1978,56
"5090.1978",5090,1978,1.2
"632.1978",632,1978,5204
"11048.1978",11048,1978,1000
"5085.1978",5085,1978,0.8
"5086.1978",5086,1978,0.9
"2356.1978",2356,1978,1
"6166.1978",6166,1978,0.5
"3421.1978",3421,1978,1.35
"3488.1978",3488,1978,3.6
"5087.1978",5087,1978,2.9
"123.1978",123,1978,30
"604.1978",604,1978,17
"5895.1978",5895,1978,0.88
"5897.1978",5897,1978,0.88
"5896.1978",5896,1978,1.01
"5893.1978",5893,1978,1.93
"5898.1978",5898,1978,60
"230.1979",230,1979,161
"229.1979",229,1979,205
"3485.1979",3485,1979,11
"4916.1979",4916,1979,85
"3480.1979",3480,1979,0.61
"5373.1979",5373,1979,2.28
"8147.1979",8147,1979,0.7
"28.1979",28,1979,27
"4914.1979",4914,1979,185
"128.1979",128,1979,31
"3479.1979",3479,1979,2.1
"117.1979",117,1979,22
"5814.1979",5814,1979,0
"5815.1979",5815,1979,0
"5816.1979",5816,1979,0
"632.1979",632,1979,5681
"234.1979",234,1979,3015
"627.1979",627,1979,12
"2356.1979",2356,1979,3
"6166.1979",6166,1979,0.5
"3421.1979",3421,1979,1
"3488.1979",3488,1979,1.6
"123.1979",123,1979,39
"604.1979",604,1979,15
"5895.1979",5895,1979,0.37
"5894.1979",5894,1979,1.6
"5896.1979",5896,1979,0.2
"5893.1979",5893,1979,1.33
"5898.1979",5898,1979,34
"5817.1979",5817,1979,85
"6128.1980",6128,1980,13.9
"11279.1980",11279,1980,10
"11280.1980",11280,1980,30
"3485.1980",3485,1980,42
"4916.1980",4916,1980,94
"3480.1980",3480,1980,1.21
"5373.1980",5373,1980,1.99
"119.1980",119,1980,350
"8147.1980",8147,1980,0.5
"28.1980",28,1980,29
"4914.1980",4914,1980,165
"128.1980",128,1980,36
"3479.1980",3479,1980,2
"117.1980",117,1980,17
"5814.1980",5814,1980,6
"5815.1980",5815,1980,24
"527.1980",527,1980,100
"519.1980",519,1980,150
"5816.1980",5816,1980,0
"532.1980",532,1980,100
"533.1980",533,1980,500
