Tag,id,Citation_trim,Citation,Class,Order,Family,Genus,Species,SubSpecies,Authority,CommonName,Estimated_area_num,Estimated_area_cat,Units,PopulationLocation,CountryList,Region,DecimalLatitude,DecimalLongitude,SpecificCoordinate,system,biome,realm,Native,Alien,Invasive,Units,SamplingMethod,DataTransformed
NA,11486,The interactions of predator and hare populations in Finland - a study based on wildlife monitoring counts,"Kauhala, K. and P. Helle (2000). The interactions of predator and hare populations in Finland - a study based on wildlife monitoring counts."" Annales Zoologici Fennici 37(3): 151-160.  1758""",Mammalia,Carnivora,Canidae,Vulpes,vulpes,,"Linnaeus, 1758",Red fox,100,NA,km2,100km2 area in Southern Finland,Finland,Europe,60.780556,22.5,TRUE,Terrestrial,Boreal forests/taiga,Palearctic,Yes,No,No,Track index - the number of crossings per 24h per 10km.,Wildlife triangle counts: In Finland there are around 1200  wildlife triangles situated randomly in forested areas. Then the country was split into 29 100km2 squares. Tracks crossing these triangles were counted 1-5 days after snowfall in each square. ,No
NA,6128,The impact of sarcoptic mange Sarcoptes scabiei on the British fox Vulpes vulpes population," Soulsbury, C. D., G. Iossa, et al. (2007). The impact of sarcoptic mange Sarcoptes scabiei on the British fox Vulpes vulpes population."" Mammal Review. doi: 10.1111/j.1365-2907.""",Mammalia,Carnivora,Canidae,Vulpes,vulpes,,"Linnaeus, 1758",Red fox,110,NA,km2,NW Bristol,United Kingdom,Europe,51.45,-2.58333,FALSE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Adult density/km-2,capture mark recapture readio tracking necroscopy,No
NA,22756,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Canidae,Canis,lupus,,"Linnaeus, 1758",Grey wolf / Gray wolf,122.19,NA,km2,"Okanagan, British Columbia",Canada,North America,49.85923,-119.03137,TRUE,Terrestrial,Boreal forests/taiga,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,22822,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Felidae,Puma,concolor,,"(Linnaeus, 1771)",Mountain lion / Puma / Cougar,122.19,NA,km2,"Okanagan, British Columbia",Canada,North America,49.85923,-119.03137,TRUE,Terrestrial,Boreal forests/taiga,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,22841,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Ursidae,Ursus,americanus,,"Pallas, 1780",American black bear,122.19,NA,km2,"Okanagan, British Columbia",Canada,North America,49.85923,-119.03137,TRUE,Terrestrial,Boreal forests/taiga,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,22852,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,"Linnaeus, 1758",Grizzly bear / Brown bear,122.19,NA,km2,"Okanagan, British Columbia",Canada,North America,49.85923,-119.03137,TRUE,Terrestrial,Boreal forests/taiga,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,19712,"Gomes da Rocha, D., R. Sollmann, E. Esterci Ramalho, R. Ilha, and C. K. W. Tan. 2016. Ocelot (Leopardus pardalis) Density in Central Amazonia. PLoS ONE 11.",,Mammalia,Carnivora,Felidae,Leopardus,pardalis,,"(Linnaeus, 1758)",Ocelot,130.8,NA,km2,"130.8km2 area on north-eastern border of Amana Lake, Amana Sustainable Development Reserve, Central Amazonia",Brazil,Latin America and Caribbean,-2.490745,-64.675089,TRUE,Terrestrial,Tropical and subtropical moist broadleaf forests,Neotropical,Yes,No,No,Estimated number of individuals per 100km2,Camera-trap survey with 50 camera-trap stations covering area of 130.8km2. Density estimated using closed population spatially explicit capture-recapture models (SCR).,No
NA,11279,The status of bears and restoration projects on the Korean Peninsula.,"Han, S.-H. (2006). The status of bears and restoration projects on the Korean Peninsula.",Mammalia,Carnivora,Ursidae,Ursus,thibetanus,,"(Cuvier, 1823)",Asiatic black bear,163.6,NA,km2,"Seoraksan Mountains, Republic of Korea","Korea, Republic Of",Asia,38,128,FALSE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Individuals,Simple survey (very limited details given in source),No
NA,9888,"Lewa Wildlife Conservancy Animal Census Report. Nairobi, Kenya"," Chege, G. (2008). Lewa Wildlife Conservancy Animal Census Report. Nairobi, Kenya., Lewa Wildlife Conservancy.",Mammalia,Carnivora,Felidae,Panthera,leo,,"Linnaeus, 1758",African lion / Asiatic lion,250,NA,km2,"Lewa Nature Conservancy, Kenya",Kenya,Africa,0.22139,37.44806,TRUE,Terrestrial,Tropical and subtropical grasslands savannas and shrublands,Afrotropical,Yes,No,No,Individuals,Aerial,No
NA,9864,"Lewa Wildlife Conservancy Animal Census Report. Nairobi, Kenya"," Chege, G. (2008). Lewa Wildlife Conservancy Animal Census Report. Nairobi, Kenya., Lewa Wildlife Conservancy.",Mammalia,Carnivora,Felidae,Acinonyx,jubatus,,"Schreber, 1775",Cheetah,250,NA,km2,"Lewa Wildlife Conservancy, Kenya",Kenya,Africa,0.22139,37.44806,TRUE,Terrestrial,Tropical and subtropical grasslands savannas and shrublands,Afrotropical,Yes,No,No,Individuals,Aerial,No
NA,18772,Estimating seasonal abundance and habitat use of small carnivores in the Western Ghats using an occupancy approach,"Kalle, R., T. Ramesh, Q. Qureshi and K. Sankar (2014). Estimating seasonal abundance and habitat use of small carnivores in the Western Ghats using an occupancy approach."" Journal of Tropical Ecology 30: 469-480.""",Mammalia,Carnivora,Felidae,Felis,chaus,,"Schreber, 1777",Jungle cat,321,NA,km2,"Mudumalai Tiger Reserve, Tamil Nadu",India,Asia,11.616667,76.566667,TRUE,Terrestrial,Tropical and subtropical moist broadleaf forests,Indo-Malayan,Yes,No,No,Site occupancy,Camera-trap surveys covering three sampling zones of different vegetation types. Presence-absence models with habitat covariates following MacKenzie et al. (2002) were applied to estimate seasonal occupancy and abundance.,No
NA,18251,Population density of Geoffroy's cat in scrublands of central Argentina,"Pereira, J.A., Di Bitetti, M.S., Fracassi, N.G., Paviolo, A., De Angelo, C.D., Di Blanco, Y.E. and Novaro, A.J. Population density of Geoffroy's cat in scrublands of central Argentina. Journal of Zoology 283(1): 37-44.",Mammalia,Carnivora,Felidae,Leopardus,geoffroyi,,"(d'Orbigny and Gervais, 1844)",Geoffroy's cat,325.1,NA,km2,Lihue Calel National Park,Argentina,Latin America and Caribbean,-37.95,-65.55,TRUE,Terrestrial,Temperate grasslands savannas and shrublands,Neotropical,Yes,No,No,Individuals per km2,Camera trapping and capture-mark-recapture modelling,Yes
Pereira20061132,18484,Numerical and spatial response of Geoffroy's car (Oncifelis geoffroyi) to prey decline in Argentina,"Pereira, J. A., N. G. Fracassi, et al. (2006). Numerical and spatial response of Geoffroy's car (Oncifelis geoffroyi) to prey decline in Argentina."" Journal of Mammalogy 87(6): 1132-1139.""",Mammalia,Carnivora,Felidae,Leopardus,geoffroyi,,"(d'Orbigny and Gervais, 1844)",Geoffroy's cat,325.1,NA,km2,Lihue Calel National Park and surrounding lands in La Pampa Province,Argentina,Latin America and Caribbean,-37.95,-65.55,TRUE,Terrestrial,Temperate grasslands savannas and shrublands,Neotropical,Yes,No,No,No/10 km2,Combination of records of radiocollared individuals and visual sightings of unmarked individuals,Yes
NA,22758,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Canidae,Canis,lupus,,"Linnaeus, 1758",Grey wolf / Gray wolf,400,NA,km2,"West Kootenay, British Columbia",Canada,North America,49.40409,-118.94213,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
